URL,FILE SIZE,OUTGOING URLS,CONTENT-TYPE
http://www.nydailynews.com/autos/latest-reviews/2017-kia-cadenza-ratings-review-article-1.3005655,111321,127,text/html
http://www.nydailynews.com/autos/news/2018-kia-rio-sedan-5-door-preview-article-1.3052133,91815,118,text/html
http://www.nydailynews.com/autos/audi/details/features/audi-q5-2017-1.2854138?vtype=features,34786,107,text/html
http://www.nydailynews.com/tags/h,95054,106,text/html
http://www.nydailynews.com/tags/andrew-nicholson,94754,104,text/html
http://www.nydailynews.com/newswires/entertainment/fashion-helmut-lang-bra-shaped-handbag-wanted-article-1.3489242,94960,109,text/html
http://www.nydailynews.com/entertainment/movies/man-movie-review-article-1.1834731,97671,131,text/html
http://www.nydailynews.com/entertainment/tv/big-brother-ott-eviction-q-danielle-shane-shelby-game-article-1.2880186,95342,107,text/html
http://www.nydailynews.com/sports/billie-jean-wins-straight-sets-riggs-1973-article-1.2355262,101717,113,text/html
http://www.nydailynews.com/news/crime/affluenza-teen-asks-texas-supreme-court-jail-article-1.3004198,88095,109,text/html
http://www.nydailynews.com/autos/news/2020-mercedes-benz-glc-f-cell-hydrogen-electric-suv-preview-article-1.3492863,95470,124,text/html
http://www.nydailynews.com/entertainment/watch-seth-rogen-discuss-orlando-bloom-justin-bieber-penises-article-1.2742991,92246,116,text/html
http://www.nydailynews.com/amp/sports/basketball/video-shaq-charles-barkley-trade-lighthearted-insults-article-1.3196925,26184,31,text/html
http://www.nydailynews.com/autos/2015-honda-civic-safe-dependable-sale-article-1.2505778,85131,113,text/html
http://www.nydailynews.com/news/politics/weiner-sidesteps-questions-marriage-article-1.1464944,88943,108,text/html
http://www.nydailynews.com/autos/nissan/details/features/nissan-titan-xd-2017-1.2775707?vtype=features,35123,107,text/html
http://www.nydailynews.com/life-style/herve-leger-fall-2014-gallery-1.1607196,66784,22,text/html
http://www.nydailynews.com/news/national/president-trump-emmanuel-macron-loves-holding-hand-article-1.3342186,92543,114,text/html
http://www.nydailynews.com/life-style/eats/washington-pot-store-sells-marijuana-coffee-pods-article-1.2226982,86280,105,text/html
http://www.nydailynews.com/amp/sports/basketball/knicks/porzingis-predicts-all-star-season-knicks-article-1.3442607,25846,31,text/html
http://www.nydailynews.com/autos/nissan,61579,215,text/html
http://www.nydailynews.com/news/world/sea-lice-surge-damaging-salmon-industry-article-1.3504408,89432,107,text/html
http://www.nydailynews.com/newswires/news/national/u-s-states-not-set-self-driving-car-rules-republican-plan-article-1.3251645,90435,109,text/html
http://www.nydailynews.com/autos/tags/titan,59201,113,text/html
http://www.nydailynews.com/autos/gallery-2017-subaru-forester-photos-gallery-1.2825551,26851,20,text/html
http://www.nydailynews.com/entertainment/tv/big-brother-ott-eviction-q-justin-thanksgiving-game-article-1.2894341,93886,110,text/html
http://www.nydailynews.com/new-york/solstice-times-square-yoga-class-gallery-1.2681040,67384,22,text/html
http://www.nydailynews.com/authors?author=Fran-Kilinski,106250,157,text/html
http://www.nydailynews.com/autos/bmw/details/specs/bmw-i8-2017-1.2965599?vtype=specs,34342,107,text/html
http://www.nydailynews.com/autos/street-smarts/5-to-drive-best-small-cars-list-article-1.3108389,91855,127,text/html
http://www.nydailynews.com/autos/jaguar/details/pricing/jaguar-f-pace-2017-1.2862430?vtype=price,35382,108,text/html
http://www.nydailynews.com/autos/pictures-2017-mini-countryman-gallery-1.2845704,27175,19,text/html
http://www.nydailynews.com/news/national/county-posts-lives-splatter-joke-facebook-article-1.3493205,88265,116,text/html
http://www.nydailynews.com/newswires/news/business/company-agrees-5m-settlement-butter-flavoring-case-article-1.3506474,85405,107,text/html
http://www.nydailynews.com/entertainment/music/mtv-announces-nominees-video-music-awards-article-1.2726906,99364,139,text/html
http://www.nydailynews.com/autos/scion,31180,113,text/html
http://www.nydailynews.com/news/national/9th-person-dies-week-florida-nursing-home-lost-power-article-1.3507602,86043,105,text/html
http://www.nydailynews.com/blogs/the-beautiful-blog/nycfc-breaks-10-000-season-ticket-barrier-months-start-inaugural-2015-season-blog-entry-1.1974510,36561,65,text/html
http://www.nydailynews.com/autos/dodge/details/specs/dodge-durango-2017-1.2816845?vtype=specs,34890,107,text/html
http://www.nydailynews.com/new-york/hamill-trapped-bird-broke-tweeted-article-1.2135156,90617,108,text/html
http://www.nydailynews.com/newswires/entertainment/protesting-venezuelan-violinist-seek-asylum-article-1.3507595,92401,109,text/html
http://www.nydailynews.com/life-style/eats/kfc-uk-launches-edible-coffee-cups-article-1.2130555,86402,110,text/html
http://www.nydailynews.com/autos/audi/2018-audi-a8-review-ratings-photos-specifications-2018-1.3320513,36254,113,text/html
http://www.nydailynews.com/news/remembering-life-career-jerry-lewis-gallery-1.3427561,67351,21,text/html
http://www.nydailynews.com/news/politics/trump-putin-discussed-meeting-article-1.3309172,96885,134,text/html
