17/10/15 18:49:45 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/15 18:49:45 INFO client.RMProxy: Connecting to ResourceManager at cluster-3ec8-m/10.138.0.2:8032
17/10/15 18:49:46 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/15 18:49:47 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/15 18:49:48 INFO input.FileInputFormat: Total input files to process : 3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/15 18:49:49 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508090916211_0003
17/10/15 18:49:49 INFO impl.YarnClientImpl: Submitted application application_1508090916211_0003
17/10/15 18:49:49 INFO mapreduce.Job: The url to track the job: http://cluster-3ec8-m:8088/proxy/application_1508090916211_0003/
17/10/15 18:49:49 INFO mapreduce.Job: Running job: job_1508090916211_0003
17/10/15 18:49:56 INFO mapreduce.Job: Job job_1508090916211_0003 running in uber mode : false
17/10/15 20:09:18 INFO mapreduce.Job:  map 72% reduce 0%
17/10/15 20:10:18 INFO mapreduce.Job:  map 73% reduce 0%
17/10/15 20:11:16 INFO mapreduce.Job:  map 74% reduce 0%
17/10/15 20:12:26 INFO mapreduce.Job:  map 75% reduce 0%
17/10/15 20:13:26 INFO mapreduce.Job:  map 76% reduce 0%
17/10/15 20:14:29 INFO mapreduce.Job:  map 77% reduce 0%
17/10/15 20:15:29 INFO mapreduce.Job:  map 78% reduce 0%
17/10/15 20:16:30 INFO mapreduce.Job:  map 79% reduce 0%
17/10/15 20:17:36 INFO mapreduce.Job:  map 80% reduce 0%
17/10/15 20:18:39 INFO mapreduce.Job:  map 81% reduce 0%
17/10/15 20:19:43 INFO mapreduce.Job:  map 82% reduce 0%
17/10/15 20:20:51 INFO mapreduce.Job:  map 83% reduce 0%
17/10/15 20:21:55 INFO mapreduce.Job:  map 84% reduce 0%
17/10/15 20:22:59 INFO mapreduce.Job:  map 85% reduce 0%
17/10/15 20:24:04 INFO mapreduce.Job:  map 86% reduce 0%
17/10/15 20:25:07 INFO mapreduce.Job:  map 87% reduce 0%
17/10/15 20:26:11 INFO mapreduce.Job:  map 88% reduce 0%
17/10/15 20:27:17 INFO mapreduce.Job:  map 89% reduce 0%
17/10/15 20:28:24 INFO mapreduce.Job:  map 90% reduce 0%
17/10/15 20:29:23 INFO mapreduce.Job:  map 91% reduce 0%
17/10/15 20:30:30 INFO mapreduce.Job:  map 92% reduce 0%
17/10/15 20:31:34 INFO mapreduce.Job:  map 93% reduce 0%
17/10/15 20:32:35 INFO mapreduce.Job:  map 94% reduce 0%
17/10/15 20:33:39 INFO mapreduce.Job:  map 95% reduce 0%
17/10/15 20:34:35 INFO mapreduce.Job:  map 95% reduce 6%
17/10/15 20:34:38 INFO mapreduce.Job:  map 95% reduce 12%
17/10/15 20:34:44 INFO mapreduce.Job:  map 95% reduce 13%
17/10/15 20:34:52 INFO mapreduce.Job:  map 96% reduce 13%
17/10/15 20:36:02 INFO mapreduce.Job:  map 97% reduce 13%
17/10/15 20:37:09 INFO mapreduce.Job:  map 98% reduce 13%
17/10/15 20:38:20 INFO mapreduce.Job:  map 99% reduce 13%
17/10/15 20:39:25 INFO mapreduce.Job:  map 100% reduce 13%
17/10/15 20:40:02 INFO mapreduce.Job:  map 100% reduce 14%
17/10/15 20:40:09 INFO mapreduce.Job:  map 100% reduce 15%
17/10/15 20:40:12 INFO mapreduce.Job:  map 100% reduce 22%
17/10/15 20:40:13 INFO mapreduce.Job:  map 100% reduce 23%
17/10/15 20:40:15 INFO mapreduce.Job:  map 100% reduce 24%
17/10/15 20:40:18 INFO mapreduce.Job:  map 100% reduce 31%
17/10/15 20:40:19 INFO mapreduce.Job:  map 100% reduce 32%
17/10/15 20:40:21 INFO mapreduce.Job:  map 100% reduce 40%
17/10/15 20:40:24 INFO mapreduce.Job:  map 100% reduce 42%
17/10/15 20:40:25 INFO mapreduce.Job:  map 100% reduce 43%
17/10/15 20:40:27 INFO mapreduce.Job:  map 100% reduce 45%
17/10/15 20:40:30 INFO mapreduce.Job:  map 100% reduce 46%
17/10/15 20:40:31 INFO mapreduce.Job:  map 100% reduce 47%
17/10/15 20:40:33 INFO mapreduce.Job:  map 100% reduce 49%
17/10/15 20:40:36 INFO mapreduce.Job:  map 100% reduce 50%
17/10/15 20:40:37 INFO mapreduce.Job:  map 100% reduce 51%
17/10/15 20:40:39 INFO mapreduce.Job:  map 100% reduce 53%
17/10/15 20:40:42 INFO mapreduce.Job:  map 100% reduce 55%
17/10/15 20:40:43 INFO mapreduce.Job:  map 100% reduce 56%
17/10/15 20:40:45 INFO mapreduce.Job:  map 100% reduce 57%
17/10/15 20:40:48 INFO mapreduce.Job:  map 100% reduce 58%
17/10/15 20:40:49 INFO mapreduce.Job:  map 100% reduce 59%
17/10/15 20:40:51 INFO mapreduce.Job:  map 100% reduce 60%
17/10/15 20:40:54 INFO mapreduce.Job:  map 100% reduce 61%
17/10/15 20:40:55 INFO mapreduce.Job:  map 100% reduce 62%
17/10/15 20:40:57 INFO mapreduce.Job:  map 100% reduce 63%
17/10/15 20:41:00 INFO mapreduce.Job:  map 100% reduce 64%
17/10/15 20:41:03 INFO mapreduce.Job:  map 100% reduce 65%
17/10/15 20:41:06 INFO mapreduce.Job:  map 100% reduce 66%
17/10/15 20:41:07 INFO mapreduce.Job:  map 100% reduce 67%
17/10/15 20:41:09 INFO mapreduce.Job:  map 100% reduce 68%
17/10/15 20:41:12 INFO mapreduce.Job:  map 100% reduce 69%
17/10/15 20:41:15 INFO mapreduce.Job:  map 100% reduce 70%
17/10/15 20:41:18 INFO mapreduce.Job:  map 100% reduce 71%
